2016-03-26:15-29-01|24.70:44.40::5100
2016-03-26:15-31-01|24.70:44.00::1122
2016-03-26:15-32-01|24.60:43.80::1222
2016-03-26:15-33-01|24.60:43.80::5730
2016-03-26:15-34-01|24.60:44.40::4850
2016-03-26:15-35-01|24.60:44.70::5015
2016-03-26:15-37-01|24.60:44.90::1714
2016-03-26:15-38-02|24.50:44.80::2453
2016-03-26:15-41-01|24.50:44.20::4625
2016-03-26:15-44-01|24.60:45.10::1144
2016-03-26:15-45-02|24.50:45.00::791
2016-03-26:15-46-01|24.50:45.00::616
2016-03-26:15-47-01|24.40:44.90::653
2016-03-26:15-48-01|24.40:44.90::676
2016-03-26:15-49-02|24.40:44.90::637
2016-03-26:15-50-01|24.40:44.90::571
2016-03-26:15-51-01|24.30:44.60::553
2016-03-26:15-52-01|24.30:44.90::601
2016-03-26:15-53-02|24.30:44.80::739
2016-03-26:15-54-01|24.30:44.90::885
2016-03-26:15-55-01|24.30:45.00::1322
2016-03-26:15-56-01|24.30:44.80::868
2016-03-26:15-57-01|24.20:44.70::1334
2016-03-26:15-57-08|24.30:45.10::1221
2016-03-26:15-57-19|24.30:45.10::1266
2016-03-26:15-57-29|24.30:45.10::1404
2016-03-26:15-57-40|24.30:44.80::1558
2016-03-26:15-57-52|24.30:44.80::1565
2016-03-26:15-58-02|24.30:45.00::1577
2016-03-26:15-58-03|24.30:44.90::1581
2016-03-26:15-58-16|24.30:45.10::1562
2016-03-26:15-58-28|24.30:45.20::1584
2016-03-26:15-58-39|24.30:45.30::1580
2016-03-26:15-58-50|24.30:45.20::1556
2016-03-26:15-59-01|24.30:45.10::1541
2016-03-26:15-59-01|24.30:45.00::1541
2016-03-26:15-59-11|24.30:44.90::1519
2016-03-26:15-59-22|24.30:45.10::1497
2016-03-26:15-59-33|24.30:45.20::1479
2016-03-26:15-59-44|24.30:45.20::1463
2016-03-26:15-59-54|24.30:45.00::1444
2016-03-26:16-00-01|24.30:45.10::1438
2016-03-26:16-00-05|24.30:45.10::1433
2016-03-26:16-00-16|24.30:45.20::1482
2016-03-26:16-00-26|24.30:44.90::1413
2016-03-26:16-00-37|24.30:45.20::1403
2016-03-26:16-00-48|24.30:45.20::1379
2016-03-26:16-00-59|24.30:45.10::1389
2016-03-26:16-01-01|24.30:45.00::1385
2016-03-26:16-01-11|24.30:44.90::1384
2016-03-26:16-01-22|24.30:44.80::1374
2016-03-26:16-01-33|24.30:44.90::1375
2016-03-26:16-01-43|24.30:44.90::1379
2016-03-26:16-01-54|24.30:45.10::1348
2016-03-26:16-02-01|24.30:45.30::1345
2016-03-26:16-02-05|24.30:45.30::1345
2016-03-26:16-02-15|24.30:45.30::1266
2016-03-26:16-02-26|24.30:45.30::1175
2016-03-26:16-02-37|24.30:45.30::1244
2016-03-26:16-02-48|24.30:45.30::1269
2016-03-26:16-02-59|24.30:45.70::1265
2016-03-26:16-03-01|24.30:45.30::1267
2016-03-26:16-03-11|24.30:45.30::1282
2016-03-26:16-03-22|24.30:45.40::1292
2016-03-26:16-03-32|24.30:45.40::1281
2016-03-26:16-03-43|24.30:45.70::26205
2016-03-26:16-03-57|24.30:46.10::25978
2016-03-26:16-04-01|24.30:45.90::25953
2016-03-26:16-04-10|24.30:44.80::25791
2016-03-26:16-04-21|24.30:44.40::25577
2016-03-26:16-05-01|24.30:44.80::25376
2016-03-26:16-05-47|24.40:44.90::25822
2016-03-26:16-05-56|24.30:45.20::25966
2016-03-26:16-06-01|24.30:45.10::25959
2016-03-26:16-06-04|24.30:45.20::1038
2016-03-26:16-06-13|24.30:45.10::26040
2016-03-26:16-06-23|24.30:45.20::26493
2016-03-26:16-06-32|24.30:44.90::26753
2016-03-26:16-06-40|24.30:45.00::27060
2016-03-26:16-06-49|24.30:45.00::27467
2016-03-26:16-06-58|24.30:45.00::27570
2016-03-26:16-07-07|24.30:44.90::1102
2016-03-26:16-07-01|24.30:45.20::27544
2016-03-26:16-07-15|24.30:45.00::27561
2016-03-26:16-07-24|24.30:45.20::27645
2016-03-26:16-07-32|24.30:45.10::27515
2016-03-26:16-07-41|24.30:45.10::27450
2016-03-26:16-07-55|24.30:45.10::27467
2016-03-26:16-08-01|24.30:45.00::27510
2016-03-26:16-08-04|24.30:45.10::1100
2016-03-26:16-08-12|24.30:44.80::27533
2016-03-26:16-08-21|24.30:45.00::27311
2016-03-26:16-08-32|24.30:45.00::27144
2016-03-26:16-08-41|24.30:44.80::27066
2016-03-26:16-08-50|24.30:44.80::26824
2016-03-26:16-08-59|24.30:44.80::26631
2016-03-26:16-09-01|24.40:44.90::1065
2016-03-26:16-09-07|24.30:44.80::26508
2016-03-26:16-09-17|24.40:44.90::26365
2016-03-26:16-09-26|24.40:44.90::26265
2016-03-26:16-09-37|24.40:44.90::26047
2016-03-26:16-09-46|24.40:44.90::25721
2016-03-26:16-09-55|24.40:44.90::25748
2016-03-26:16-10-04|24.40:44.90::1024
2016-03-26:16-10-01|24.40:44.90::25611
2016-03-26:16-10-12|24.40:44.90::25887
2016-03-26:16-10-20|24.40:44.90::26228
2016-03-26:16-10-32|24.40:44.90::26512
2016-03-26:16-10-43|24.40:44.90::26460
2016-03-26:16-10-52|24.50:45.00::26507
2016-03-26:16-11-02|24.40:44.90::26562
2016-03-26:16-11-02|24.40:44.90::1062
2016-03-26:16-11-11|24.40:44.90::26448
2016-03-26:16-11-20|24.50:45.00::26024
2016-03-26:16-11-30|24.50:45.00::24439
2016-03-26:16-11-40|24.50:45.00::23805
2016-03-26:16-11-49|24.40:44.90::23428
2016-03-26:16-11-58|24.40:44.90::23653
2016-03-26:16-12-01|24.40:45.00::22472
2016-03-26:16-12-06|24.50:45.00::20271
2016-03-26:16-12-16|24.50:45.00::22669
2016-03-26:16-12-25|24.50:45.00::24318
2016-03-26:16-12-34|24.50:44.80::24630
2016-03-26:16-12-44|24.50:44.90::24976
2016-03-26:16-12-53|24.50:45.00::24998
2016-03-26:16-13-02|24.50:44.80::1012
2016-03-26:16-13-01|24.50:45.00::25311
2016-03-26:16-13-10|24.50:45.00::25346
